red	spark	year_	month_
464	1686	1980	1
675	1591	1980	2
703	2304	1980	3
887	1712	1980	4
1139	1471	1980	5
1077	1377	1980	6
1318	1966	1980	7
1260	2453	1980	8
1120	1984	1980	9
963	2596	1980	10
996	4087	1980	11
960	5179	1980	12
530	1530	1981	1
883	1523	1981	2
894	1633	1981	3
1045	1976	1981	4
1199	1170	1981	5
1287	1480	1981	6
1565	1781	1981	7
1577	2472	1981	8
1076	1981	1981	9
918	2273	1981	10
1008	3857	1981	11
1063	4551	1981	12
544	1510	1982	1
635	1329	1982	2
804	1518	1982	3
980	1790	1982	4
1018	1537	1982	5
1064	1449	1982	6
1404	1954	1982	7
1286	1897	1982	8
1104	1706	1982	9
999	2514	1982	10
996	3593	1982	11
1015	4524	1982	12
615	1609	1983	1
722	1638	1983	2
832	2030	1983	3
977	1375	1983	4
1270	1320	1983	5
1437	1245	1983	6
1520	1600	1983	7
1708	2298	1983	8
1151	2191	1983	9
934	2511	1983	10
1159	3440	1983	11
1209	4923	1983	12
699	1609	1984	1
830	1435	1984	2
996	2061	1984	3
1124	1789	1984	4
1458	1567	1984	5
1270	1404	1984	6
1753	1597	1984	7
2258	3159	1984	8
1208	1759	1984	9
1241	2504	1984	10
1265	4273	1984	11
1828	5274	1984	12
809	1771	1985	1
997	1682	1985	2
1164	1846	1985	3
1205	1589	1985	4
1538	1896	1985	5
1513	1379	1985	6
1378	1645	1985	7
2083	2512	1985	8
1357	1771	1985	9
1536	3727	1985	10
1526	4388	1985	11
1376	5434	1985	12
779	1606	1986	1
1005	1523	1986	2
1193	1577	1986	3
1522	1605	1986	4
1539	1765	1986	5
1546	1403	1986	6
2116	2584	1986	7
2326	3318	1986	8
1596	1562	1986	9
1356	2349	1986	10
1553	3987	1986	11
1613	5891	1986	12
814	1389	1987	1
1150	1442	1987	2
1225	1548	1987	3
1691	1935	1987	4
1759	1518	1987	5
1754	1250	1987	6
2100	1847	1987	7
2062	1930	1987	8
2012	2638	1987	9
1897	3114	1987	10
1964	4405	1987	11
2186	7242	1987	12
966	1853	1988	1
1549	1779	1988	2
1538	2108	1988	3
1612	2336	1988	4
2078	1728	1988	5
2137	1661	1988	6
2907	2230	1988	7
2249	1645	1988	8
1883	2421	1988	9
1739	3740	1988	10
1828	4988	1988	11
1868	6757	1988	12
1138	1757	1989	1
1430	1394	1989	2
1809	1982	1989	3
1763	1650	1989	4
2200	1654	1989	5
2067	1406	1989	6
2503	1971	1989	7
2141	1968	1989	8
2103	2608	1989	9
1972	3845	1989	10
2181	4514	1989	11
2344	6694	1989	12
970	1720	1990	1
1199	1321	1990	2
1718	1859	1990	3
1683	1628	1990	4
2025	1615	1990	5
2051	1457	1990	6
2439	1899	1990	7
2353	1605	1990	8
2230	2424	1990	9
1852	3116	1990	10
2147	4286	1990	11
2286	6047	1990	12
1007	1902	1991	1
1665	2049	1991	2
1642	1874	1991	3
1518	1279	1991	4
1831	1432	1991	5
2207	1540	1991	6
2822	2214	1991	7
2393	1857	1991	8
2306	2408	1991	9
1785	3252	1991	10
2047	3627	1991	11
2171	6153	1991	12
1212	1577	1992	1
1335	1667	1992	2
2011	1993	1992	3
1860	1997	1992	4
1954	1783	1992	5
2152	1625	1992	6
2835	2076	1992	7
2224	1773	1992	8
2182	2377	1992	9
1992	3088	1992	10
2389	4096	1992	11
2724	6119	1992	12
891	1494	1993	1
1247	1564	1993	2
2017	1898	1993	3
2257	2121	1993	4
2255	1831	1993	5
2255	1515	1993	6
3057	2048	1993	7
3330	2795	1993	8
1896	1749	1993	9
2096	3339	1993	10
2374	4227	1993	11
2535	6410	1993	12
1041	1197	1994	1
1728	1968	1994	2
2201	1720	1994	3
2455	1725	1994	4
2204	1674	1994	5
2660	1693	1994	6
